Sexo	Edad	Preg1	Preg2	Preg3	Preg4	Preg5
M	21	NO	501	NO	9332	1
M	63	NO	617	SI	9800	3
M	57	SI	50	SI	250	2
F	52	SI	54	SI	900	1
M	56	NO	40	NO	1265	1
F	66	NO	500	NO	8242	2
M	44	NO	1000	NO	4560	3
F	17	SI	40	SI	200	1
M	39	SI	200	NO	6214	3
M	49	NO	979	NO	1897	3
D	59	SI	858	NO	6534	3
M	54	SI	40	SI	3173	3
M	21	NO	789	SI	9411	1
D	20	NO	795	NO	6542	3
F	63	SI	800	SI	5173	2
M	48	NO	552	SI	9762	3
F	72	SI	500	NO	0	1
D	18	NO	40	NO	0	3
F	21	NO	1000	SI	9905	2
M	74	SI	100	SI	500	1
D	25	SI	190	NO	6209	3
F	30	SI	614	NO	8886	3
D	47	NO	648	SI	318	1
D	25	NO	200	NO	6565	1
F	66	NO	700	SI	8869	1
F	80	NO	600	NO	0	1
D	30	NO	250	SI	5407	1
D	22	SI	570	SI	8869	3
M	25	NO	1000	SI	0	2
F	45	SI	141	NO	1445	2
D	58	NO	528	SI	1128	2
F	76	NO	636	NO	4588	3
M	42	NO	394	SI	3752	2
F	37	NO	257	NO	8945	1
F	38	SI	886	NO	9758	1
M	67	NO	413	SI	4601	2
M	17	SI	40	NO	3000	1
M	79	NO	60	SI	2547	3
F	62	SI	700	NO	3742	2
D	32	NO	650	NO	1181	1
M	22	NO	930	NO	2777	4
D	44	SI	783	SI	4290	2
F	43	NO	969	SI	2460	1
F	61	NO	268	NO	7071	2
D	16	SI	633	NO	881	1
M	55	SI	500	SI	7180	3
M	61	SI	500	SI	0	2
D	25	NO	1000	NO	2648	3
M	29	SI	300	NO	1255	1
F	18	SI	873	NO	749	3
M	50	SI	100	SI	6684	2
M	26	SI	40	SI	4306	3
D	20	SI	1000	NO	2988	2
D	20	NO	485	SI	1723	2
M	16	SI	622	NO	3921	1
F	43	SI	389	SI	8250	3
M	49	SI	368	NO	6605	4
M	23	NO	445	SI	3391	4
F	42	NO	600	NO	7732	2
D	34	SI	811	NO	250	2
F	36	SI	1000	NO	8512	3
D	41	SI	567	NO	3607	1
D	22	NO	942	NO	500	1
F	40	SI	90	NO	1700	2
F	46	NO	962	SI	2011	2
D	42	SI	631	NO	9000	1
M	67	SI	40	NO	500	1
